species,cu_branch_length
Crypturellus_undulatus,78.181662801524
Crypturellus_cinnamomeus,78.181662801524
Crypturellus_soui,73.62826102898384
Tinamus_guttatus,68.19664490626384
Nothocercus_nigrocapillus,70.80310100021367
Nothocercus_julius,70.80310100021367
Nothoprocta_pentlandii,77.02922535468086
Nothoprocta_ornata,77.02922535468086
Nothoprocta_perdicaria,70.43194954690887
Eudromia_elegans,62.97359238256099
Rhea_pennata,62.37278621697383
Rhea_americana,62.37278621697383
Apteryx_rowi,62.066494927949414
Apteryx_australis,62.066494927949414
Apteryx_owenii,62.84607692031132
Apteryx_haastii,62.84607692031132
Dromaius_novaehollandiae,60.29328594377445
Casuarius_casuarius,60.29328594377445
Struthio_camelus,50.20949943042711
Piaya_cayana,70.944497473549
Ceuthmochares_aereus,70.944497473549
Cuculus_canorus,64.980778112789
Centropus_unirufus,66.04203690801226
Centropus_bengalensis,66.04203690801226
Crotophaga_sulcirostris,58.53970676277204
Geococcyx_californianus,58.53970676277204
Chlamydotis_macqueenii,56.026197483513265
Ardeotis_kori,56.026197483513265
Lophotis_ruficrista,54.84356253250389
Corythaixoides_concolor,58.56084252453081
Corythaeola_cristata,58.56084252453081
Tauraco_erythrolophus,53.93877108029851
Patagioenas_fasciata,60.43279137246488
Columba_livia,60.43279137246488
Columbina_picui,54.520558003825975
Caloenas_nicobarica,55.00854062596005
Alopecoenas_beccarii,55.00854062596005
Syrrhaptes_paradoxus,57.06140695653881
Pterocles_gutturalis,57.06140695653881
Pterocles_burchelli,55.968790259358556
Mesitornis_unicolor,47.50695691742873
Grus_americana,64.40372875962845
Balearica_regulorum,64.40372875962845
Aramus_guarauna,59.45252075033919
Psophia_crepitans,53.89708326553989
Zapornia_atra,65.17035969201406
Atlantisia_rogersi,65.17035969201406
Heliornis_fulica,57.979701893845096
Larus_smithsonianus,75.00280679311243
Chroicocephalus_maculipennis,75.00280679311243
Rissa_tridactyla,74.26489119796938
Rynchops_niger,69.17688255884482
Phaetusa_simplex,69.17688255884482
Uria_lomvia,78.7597520541764
Uria_aalge,78.7597520541764
Alca_torda,74.37051884307758
Cepphus_grylle,71.43032834106809
Stercorarius_parasiticus,66.27294271169394
Rhinoptilus_africanus,67.99619336482114
Glareola_pratincola,67.99619336482114
Dromas_ardeola,64.14864992874568
Turnix_velox,56.693402863508645
Rostratula_benghalensis,76.13360886633444
Nycticryphes_semicollaris,76.13360886633444
Jacana_jacana,70.2667483457221
Thinocorus_orbignyianus,71.4036741305999
Pedionomus_torquatus,71.4036741305999
Calidris_pugnax,70.65621162864853
Arenaria_interpres,70.65621162864853
Limosa_lapponica,65.58563848586839
Ibidorhyncha_struthersii,64.69055755875345
Himantopus_himantopus,64.69055755875345
Charadrius_vociferus,63.663513494645905
Charadrius_alexandrinus,63.663513494645905
Pluvianellus_socialis,64.81202522313444
Chionis_minor,64.81202522313444
Burhinus_bistriatus,57.174343957225084
Opisthocomus_hoazin,47.12197801379051
Oreotrochilus_melanogaster,60.46872231342362
Calypte_anna,60.46872231342362
Hemiprocne_comata,60.23526931542246
Chaetura_pelagica,60.23526931542246
Aegotheles_bennettii,49.78322807542183
Podargus_strigoides,47.92807185868906
Nyctibius_grandis,53.898669965604
Nyctibius_bracteatus,53.898669965604
Steatornis_caripensis,47.82834908818
Chordeiles_acutipennis,55.72957470489577
Antrostomus_carolinensis,55.72957470489577
Nyctiprogne_leucopyga,54.44358380857255
Phalacrocorax_brasilianus,69.16855508886233
Phalacrocorax_auritus,69.16855508886233
Phalacrocorax_harrisi,67.80643359630673
Phalacrocorax_pelagicus,65.28284343921923
Phalacrocorax_carbo,65.28284343921923
Anhinga_rufa,63.78350972329951
Anhinga_anhinga,63.78350972329951
Sula_dactylatra,55.03441722264624
Fregata_magnificens,49.955956982723364
Scopus_umbretta,52.50834803610041
Pelecanus_crispus,52.50834803610041
Balaeniceps_rex,52.42995953911034
Egretta_garzetta,56.55934844432447
Cochlearius_cochlearius,56.55934844432447
Nipponia_nippon,53.694492097496365
Mesembrinibis_cayennensis,53.694492097496365
Ciconia_maguari,48.09590122701042
Pelecanoides_urinatrix,57.9370506237093
Calonectris_borealis,57.9370506237093
Fulmarus_glacialis,56.85351014094805
Hydrobates_tethys,51.96329859758655
Oceanites_oceanicus,56.618042141141785
Fregetta_grallaria,56.618042141141785
Thalassarche_chlororhynchos,50.22470904639667
Pygoscelis_adeliae,55.567195205150625
Aptenodytes_forsteri,55.567195205150625
Gavia_stellata,47.51965408645639
