LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
Fulmarus_glacialis	0.016214	548232.1114798066	2389069.9999999995	1	2389069.9999999995	1	9299553.999999998	16	2389069.9999999995
Calonectris_borealis	0.017023	157962.71825841384	2217911	1	2217911	1	9299553.999999998	17	2217911
Pelecanoides_urinatrix	0.024315	157962.71825841384	2217911	1	2217911	1	9299553.999999998	17	2217911
N233	0.001218	157962.71825841384	171158.99999999997	2	2389070	2	7081642.999999998	16	4606981
N234	0.014915	548232.1114798066	2680970.9999999995	3	5070041	3	6910483.999999998	15	9677022
N235	0.00186	226563.24098669103	205993.99999999997	4	5276035	4	4229512.999999999	14	14953057
N274	0.001123	1082692.9874883764	33385.99999999999	30	6380225	12	2952714.9999999995	8	117923416
N275	0.000427	13458735.077100392	143994.99999999997	42	6524220	13	2919328.9999999995	7	174041571
N276	0.000381	5527090.925859286	59486.99999999999	79	6583707	14	2775333.9999999995	6	290417154
Ciconia_maguari	0.038461	365437.3948089797	6069926.999999999	1	6069926.999999999	1	9299553.999999998	12	6069926.999999999
Mesembrinibis_cayennensis	0.02172	580530.0085748063	3003604.9999999995	1	3003604.9999999995	1	9299553.999999998	15	3003604.9999999995
Nipponia_nippon	0.02369	580530.0085748063	3003604.9999999995	1	3003604.9999999995	1	9299553.999999998	15	3003604.9999999995
N242	0.016317	580530.0085748063	2864357.9999999995	2	5867962.999999999	2	6295948.999999999	14	8871567.999999998
Cochlearius_cochlearius	0.022884	306970.35379173944	3411997.9999999995	1	3411997.9999999995	1	9299553.999999998	16	3411997.9999999995
Egretta_garzetta	0.030823	306970.35379173944	3411997.9999999995	1	3411997.9999999995	1	9299553.999999998	16	3411997.9999999995
N245	0.029492	306970.35379173944	2363075.9999999995	2	5775073.999999999	2	5887555.999999999	15	9187071.999999998
Balaeniceps_rex	0.029753	552225.2711229882	3804364	1	3804364	1	9299554	16	3804364
Pelecanus_crispus	0.037343	1338653.0425923977	3699428.9999999995	1	3699428.9999999995	1	9299553.999999998	17	3699428.9999999995
Scopus_umbretta	0.049858	1338653.0425923977	3699428.9999999995	1	3699428.9999999995	1	9299553.999999998	17	3699428.9999999995
N249	0.00083	1338653.0425923977	104934.99999999999	2	3804363.9999999995	2	5600124.999999999	16	7503792.999999999
N250	0.009777	552225.2711229882	1970709.9999999998	3	5775074	3	5495189.999999999	15	13278866.999999998
N251	0.0006	921184.1511826428	92888.99999999999	5	5867963	4	3524479.9999999995	14	22558827.999999996
N296	0.008916	432183.17185865366	2183160	6	5408772	5	6073942	11	10829824
Fregata_magnificens	0.034244	378569.45334687567	5406358.999999999	1	5406358.999999999	1	9299553.999999998	14	5406358.999999999
Sula_dactylatra	0.037085	311043.6875299801	3826735.999999999	1	3826735.999999999	1	9299553.999999998	15	3826735.999999999
Anhinga_anhinga	0.01907	235579.59658819152	1892200.9999999998	1	1892200.9999999998	1	9299553.999999998	17	1892200.9999999998
Anhinga_rufa	0.019191	235579.59658819152	1892200.9999999998	1	1892200.9999999998	1	9299553.999999998	17	1892200.9999999998
N257	0.013718	235579.59658819152	1536786.9999999998	2	3428987.9999999995	2	7407352.999999999	16	5321188.999999999
Phalacrocorax_carbo	0.005793	115052.99142959561	562387.9999999999	1	562387.9999999999	1	9299553.999999998	18	562387.9999999999
Phalacrocorax_pelagicus	0.005707	115052.99142959561	562387.9999999999	1	562387.9999999999	1	9299553.999999998	18	562387.9999999999
N260	0.000661	115052.99142959561	61640.99999999999	2	624028.9999999999	2	8737165.999999998	17	1186416.9999999998
Phalacrocorax_harrisi	0.003407	86656.25990384756	358916.99999999994	1	358916.99999999994	1	9299553.999999998	18	358916.99999999994
Phalacrocorax_auritus	0.001645	112081.77892675599	206247.99999999997	1	206247.99999999997	1	9299553.999999998	19	206247.99999999997
Phalacrocorax_brasilianus	0.001583	112081.77892675599	206247.99999999997	1	206247.99999999997	1	9299553.999999998	19	206247.99999999997
N264	0.001194	112081.77892675599	152669	2	358917	2	9093305.999999998	18	565165
N265	0.002148	86656.25990384756	265112	3	624029	3	8940636.999999998	17	1189194
N266	0.01274	374643.82286471606	2804958.9999999995	5	3428987.9999999995	4	8675524.999999998	16	5180569.999999999
N297	0.008832	278436.4306871936	808909.9999999999	7	6217682	6	3890781.9999999995	10	17047506
N299	0.000842	1112763.5966640937	26956.999999999993	12	6364337	8	2962173.9999999995	8	37244811
N32	0.006222	214875.9747641984	571496.9999999999	6	4784802.999999999	5	5086248	6	16552001.999999998
N34	0.002816	1837745.9910430168	154543	12	6829236	7	2624861	4	38319941
N344	0.065009	222918.6484167928	1742165.9999999998	7	5563704	6	5478015.999999999	14	20205534
N346	0.003388	199626.6326882705	135622.99999999997	17	6123864	8	3311312.9999999995	12	67147232.99999999
N347	0.004387	175126.4076671557	107290.99999999999	21	6231155	9	3175689.9999999995	11	84497722.99999999
N348	0.001846	374953.2928462596	55045.999999999985	23	6286201	10	3068398.9999999995	10	92843717.99999999
N349	0.002496	255208.08853839152	65118.99999999999	24	6351320	11	3013352.9999999995	9	99195037.99999999
N35	0.012688	51491.103110493146	151974.99999999997	18	6981211	8	2470318	3	55196414
Tyto_alba	0.063653	408853.0711455959	5562062.999999999	1	5562062.999999999	1	9299553.999999998	10	5562062.999999999
Glaucidium_brasilianum	0.037291	609405.5100261637	1699570.9999999998	1	1699570.9999999998	1	9299553.999999998	11	1699570.9999999998
Ciccaba_nigrolineata	0.000916	279565.52896261157	233953.99999999997	1	233953.99999999997	1	9299553.999999998	12	233953.99999999997
Strix_occidentalis	0.000832	279565.52896261157	233953.99999999997	1	233953.99999999997	1	9299553.999999998	12	233953.99999999997
N281	0.014914	279565.52896261157	1465616.9999999998	2	1699570.9999999998	2	9065599.999999998	11	1933524.9999999998
N282	0.024084	609405.5100261637	3862491.9999999995	3	5562062.999999999	3	7599982.999999999	10	7495587.999999999
Strigiformes	0.0108	408853.0711455959	775316.9999999999	4	6337379.999999999	4	3737490.9999999995	9	13832967.999999998
Cathartes_aura	0.034275	465426.7678037207	6217681.999999999	1	6217681.999999999	1	9299553.999999998	10	6217681.999999999
Sagittarius_serpentarius	0.046003	278436.4306871936	5408771.999999999	1	5408771.999999999	1	9299553.999999998	11	5408771.999999999
Pandion_haliaetus	0.03574	432183.17185865366	3225612	1	3225612	1	9299554	12	3225612
Circaetus_pectoralis	0.011406	368625.06557688175	928945.9999999999	1	928945.9999999999	1	9299554	13	928945.9999999999
Haliaeetus_albicilla	0.00033	100565.9726709997	49506.99999999999	1	49506.99999999999	1	9299554	15	49506.99999999999
Haliaeetus_leucocephalus	0.000377	100565.9726709997	49506.99999999999	1	49506.99999999999	1	9299554	15	49506.99999999999
N290	0.003537	100565.9726709997	790702.9999999999	2	840209.9999999999	2	9250047	14	889716.9999999999
Aquila_chrysaetos	0.004831	92341.19120816769	376776.99999999994	1	376776.99999999994	1	9299554	15	376776.99999999994
Spizaetus_tyrannus	0.005529	92341.19120816769	376776.99999999994	1	376776.99999999994	1	9299554	15	376776.99999999994
N293	0.004852	92341.19120816769	463432.99999999994	2	840209.9999999999	2	8922777	14	1216986.9999999998
N294	0.001284	80394.74435694722	88735.99999999999	4	928945.9999999999	3	8459344	13	2195439.9999999995
N295	0.012118	368625.06557688175	2296665.9999999995	5	3225611.9999999995	4	8370608	12	5421051.999999999
N350	0.001193	422767.47062457184	13016.999999999998	26	6364337	12	2948233.9999999995	8	107687087.99999999
N351	0.000893	323411.0003365022	17000.999999999996	38	6381338	13	2935216.9999999995	7	144948899.99999997
N36	0.080456697	318550.7015151208	2318343	19	9299554	9	2318343	2	64495968
N382	0.009583	151649.77027488608	1014515.9999999999	6	3955585	4	6358485	13	17135802
Colius_striatus	0.028148	504458.2527607621	2127712.9999999995	1	2127712.9999999995	1	9299553.999999998	10	2127712.9999999995
Urocolius_indicus	0.032478	504458.2527607621	2127712.9999999995	1	2127712.9999999995	1	9299553.999999998	10	2127712.9999999995
Coliiformes	0.088714	504458.2527607621	4223606.999999999	2	6351319.999999998	2	7171840.999999998	9	8479032.999999998
Leptosomus_discolor	0.072346	255208.08853839152	6286200.999999999	1	6286200.999999999	1	9299553.999999998	10	6286200.999999999
Apaloderma_vittatum	0.029018	510422.57157595403	2059793.9999999998	1	2059793.9999999998	1	9299553.999999998	12	2059793.9999999998
Trogon_melanurus	0.026245	510422.57157595403	2059793.9999999998	1	2059793.9999999998	1	9299553.999999998	12	2059793.9999999998
Trogoniformes	0.075673	510422.57157595403	4171360.9999999995	2	6231154.999999999	2	7239759.999999999	11	8290948.999999999
Buceros_rhinoceros	0.043374	457719.31847135385	2415566.9999999995	1	2415566.9999999995	1	9299553.999999998	14	2415566.9999999995
Bucorvus_abyssinicus	0.02782	457719.31847135385	2415566.9999999995	1	2415566.9999999995	1	9299553.999999998	14	2415566.9999999995
N309	0.042399	457719.31847135385	3117961.9999999995	2	5533528.999999999	2	6883986.999999999	13	7949095.999999998
Rhinopomastus_cyanomelas	0.092831	313953.7483001238	3170238.9999999995	1	3170238.9999999995	1	9299553.999999998	14	3170238.9999999995
Upupa_epops	0.088847	313953.7483001238	3170238.9999999995	1	3170238.9999999995	1	9299553.999999998	14	3170238.9999999995
N312	0.080891	313953.7483001238	2363289.9999999995	2	5533528.999999999	2	6129314.999999999	13	8703767.999999998
Bucerotiformes	0.012765	372383.6360584959	590334.9999999999	4	6123863.999999999	3	3766024.9999999995	12	17243198.999999996
Merops_nubicus	0.099795	151692.47339564728	5468310.999999999	1	5468310.999999999	1	9299553.999999998	15	5468310.999999999
Brachypteracias_leptosomus	0.056888	309842.2391933926	3800856.9999999995	1	3800856.9999999995	1	9299553.999999998	16	3800856.9999999995
Eurystomus_gularis	0.050625	309842.2391933926	3800856.9999999995	1	3800856.9999999995	1	9299553.999999998	16	3800856.9999999995
N317	0.019973	309842.2391933926	1667453.9999999998	2	5468310.999999999	2	5498696.999999999	15	9269167.999999998
N318	0.002782	151692.47339564728	151369.99999999997	3	5619680.999999999	3	3831242.9999999995	14	14888848.999999996
Todus_mexicanus	0.088045	186027.5502547343	4923969	1	4923969	1	9299554	15	4923969
Baryphthengus_martii	0.079944	163247.60268434614	4539703.999999999	1	4539703.999999999	1	9299553.999999998	16	4539703.999999999
Ceyx_cyanopectus	0.088837	222486.91898120355	3228488.999999999	1	3228488.999999999	1	9299553.999999998	17	3228488.999999999
Chloroceryle_aenea	0.062109	294866.9469254404	3055287.9999999995	1	3055287.9999999995	1	9299553.999999998	18	3055287.9999999995
Halcyon_senegalensis	0.04342	294866.9469254404	3055287.9999999995	1	3055287.9999999995	1	9299553.999999998	18	3055287.9999999995
N324	0.001628	294866.9469254404	173200.99999999997	2	3228488.9999999995	2	6244265.999999999	17	6283776.999999999
N325	0.015624	222486.91898120355	1311214.9999999998	3	4539703.999999999	3	6071064.999999999	16	10823480.999999996
N326	0.005192	163247.60268434614	384264.99999999994	4	4923968.999999999	4	4759849.999999999	15	15747449.999999996
N327	0.009885	186027.5502547343	695711.9999999999	5	5619681	5	4375584.999999999	14	21367130.999999996
N397	0.003336	96028.17969897848	147551.99999999997	6	2656212.9999999995	6	6790893	16	11327531.999999998
Bucco_capensis	0.087521	301325.7603149395	4193294.999999999	1	4193294.999999999	1	9299553.999999998	15	4193294.999999999
Galbula_dea	0.080933	301325.7603149395	4193294.999999999	1	4193294.999999999	1	9299553.999999998	15	4193294.999999999
N331	0.021587	301325.7603149395	1370408.9999999998	2	5563703.999999999	2	5106258.999999999	14	9756998.999999998
Picoides_pubescens	0.052484	194674.1042362147	2728459.9999999995	1	2728459.9999999995	1	9299553.999999998	16	2728459.9999999995
Indicator_maculatus	0.044251	194674.1042362147	2728459.9999999995	1	2728459.9999999995	1	9299553.999999998	16	2728459.9999999995
N334	0.016626	194674.1042362147	1093077.9999999998	2	3821537.999999999	2	6571093.999999999	15	6549997.999999998
Psilopogon_haemacephalus	0.065776	155213.71015666352	2810475.9999999995	1	2810475.9999999995	1	9299553.999999998	16	2810475.9999999995
Tricholaema_leucomelas	0.058739	203993.1640328517	2562289	1	2562289	1	9299554	17	2562289
Eubucco_bourcierii	0.029816	170784.6286928078	1451131.9999999998	1	1451131.9999999998	1	9299553.999999998	18	1451131.9999999998
Ramphastos_sulfuratus	0.018351	174340.61585767425	1267934.9999999998	1	1267934.9999999998	1	9299553.999999998	19	1267934.9999999998
Semnornis_frantzii	0.02872	174340.61585767425	1267934.9999999998	1	1267934.9999999998	1	9299553.999999998	19	1267934.9999999998
N340	0.002416	174340.61585767425	183196.99999999997	2	1451131.9999999998	2	8031618.999999999	18	2719066.9999999995
N341	0.027547	170784.6286928078	1111156.9999999998	3	2562288.9999999995	3	7848421.999999999	17	5281355.999999999
N342	0.003101	203993.1640328517	248186.99999999994	4	2810476	4	6737264.999999999	16	8091831.999999999
N343	0.016897	155213.71015666352	1011061.9999999999	5	3821538	5	6489077.999999999	15	11913370
N398	0.002929	116913.49995447916	164739.99999999997	7	2820952.9999999995	7	6643341	15	14148484.999999998
N399	0.013187	111778.94000440897	664461.9999999999	9	3485415	8	6478601	14	18771728
N417	0.000785	369366.4709111186	36670	7	2059734	6	7276490	17	12966905.999999998
N418	0.001812	125684.73749093646	61947.99999999999	8	2121682	7	7239820	16	15088588
N419	0.002102	140377.89622261515	80625.99999999999	9	2202308	8	7177872	15	17290896
N420	0.003198	194711.9801658122	1283106.9999999998	11	3485415	9	7097246	14	21350884.999999996
N421	0.006412	134608.75503254234	470169.9999999999	20	3955584.9999999995	10	5814139	13	40592782.99999999
N422	0.009343	183085.70440268415	778834.9999999999	26	4734420	11	5343969	12	58507419.99999999
Cariama_cristata	0.007547	697991.3465345209	771421.9999999999	1	771421.9999999999	1	9299553.999999998	9	771421.9999999999
Chunga_burmeisteri	0.007436	697991.3465345209	771421.9999999999	1	771421.9999999999	1	9299553.999999998	9	771421.9999999999
Cariamiformes	0.042357	697991.3465345209	5541869.999999999	2	6313291.999999999	2	8528131.999999998	8	7084713.999999999
Herpetotheres_cachinnans	0.026568	454626.4094699836	3197247.9999999995	1	3197247.9999999995	1	9299553.999999998	10	3197247.9999999995
Falco_cherrug	0.000911	341486.06020112685	121441.99999999999	1	121441.99999999999	1	9299553.999999998	11	121441.99999999999
Falco_peregrinus	0.000878	341486.06020112685	121441.99999999999	1	121441.99999999999	1	9299553.999999998	11	121441.99999999999
N358	0.025004	341486.06020112685	3075805.9999999995	2	3197247.9999999995	2	9178111.999999998	10	3318689.9999999995
Falconiformes	0.028205	454626.4094699836	3059333.9999999995	3	6256581.999999999	3	6102305.999999999	9	9575271.999999998
Nestor_notabilis	0.042144	329297.10988994315	3525214.9999999995	1	3525214.9999999995	1	9299553.999999998	11	3525214.9999999995
Eolophus_roseicapillus	0.013817	272782.64925299207	1244602.9999999998	1	1244602.9999999998	1	9299553.999999998	13	1244602.9999999998
Probosciger_aterrimus	0.014906	272782.64925299207	1244602.9999999998	1	1244602.9999999998	1	9299553.999999998	13	1244602.9999999998
N363	0.016941	272782.64925299207	1503678.9999999998	2	2748281.9999999995	2	8054950.999999999	12	3992884.999999999
Amazona_guildingii	0.041241	98073.52015776276	2341071	1	2341071	1	9299554	13	2341071
Agapornis_roseicollis	0.038954	113649.56764827613	1850521.9999999998	1	1850521.9999999998	1	9299553.999999998	14	1850521.9999999998
Melopsittacus_undulatus	0.03545	113649.56764827613	1850521.9999999998	1	1850521.9999999998	1	9299553.999999998	14	1850521.9999999998
N367	0.007787	113649.56764827613	490548.99999999994	2	2341070.9999999995	2	7449031.999999999	13	4191592.999999999
N368	0.006438	98073.52015776276	407211	3	2748282	3	6958482.999999999	12	6939875
N369	0.011942	155522.98954763493	776932.9999999999	5	3525215	4	6551271.999999999	11	11709693
N462	7.1e-05	907661.7880358626	29115.999999999993	8	1965456	6	7363214	23	10516280
Acanthisitta_chloris	0.084476	157851.1600163415	5070652.999999999	1	5070652.999999999	1	9299554	11	5070652.999999999
Neodrepanis_coruscans	0.046411	163007.31463143864	2121966.9999999995	1	2121966.9999999995	1	9299554	15	2121966.9999999995
Serilophus_lunatus	0.046582	163007.31463143864	2121966.9999999995	1	2121966.9999999995	1	9299554	15	2121966.9999999995
N374	0.016576	163007.31463143864	819101.9999999999	2	2941068.9999999995	2	7177587	14	5063035.999999999
Sapayoa_aenigma	0.056431	484571.53227044694	2801995.9999999995	1	2801995.9999999995	1	9299554	16	2801995.9999999995
Pitta_sordida	0.076499	484571.53227044694	2801995.9999999995	1	2801995.9999999995	1	9299554	16	2801995.9999999995
N377	0.002186	484571.53227044694	76199.99999999999	2	2878195.9999999995	2	6497558	15	5680191.999999999
Calyptomena_viridis	0.041018	142846.2764919315	2436989	1	2436989	1	9299554	16	2436989
Smithornis_capensis	0.050005	142846.2764919315	2436989	1	2436989	1	9299554	16	2436989
N380	0.008196	142846.2764919315	441206.99999999994	2	2878196	2	6862565	15	5315185
N381	0.001488	202080.91677106576	62872.99999999999	4	2941069	3	6421358	14	11058250
N463	0.001316	107240.65801252834	45663.99999999999	9	2011120	7	7334098	22	12527400
Rhegmatorhina_hoffmannsi	0.020314	219659.15079346288	1137827.9999999998	1	1137827.9999999998	1	9299554	16	1137827.9999999998
Sakesphorus_luctuosus	0.019421	219659.15079346288	1137827.9999999998	1	1137827.9999999998	1	9299554	16	1137827.9999999998
N385	0.042126	219659.15079346288	1683124.9999999998	2	2820952.9999999995	2	8161726	15	3958780.999999999
Grallaria_varia	0.060626	116913.49995447916	2656212.9999999995	1	2656212.9999999995	1	9299554	16	2656212.9999999995
Scytalopus_superciliaris	0.049577	96028.17969897848	2508660.9999999995	1	2508660.9999999995	1	9299554	17	2508660.9999999995
Formicarius_rufipectus	0.068581	212306.8963738042	2430553.9999999995	1	2430553.9999999995	1	9299554	18	2430553.9999999995
Sclerurus_mexicanus	0.030737	129822.70272208827	1662434.9999999998	1	1662434.9999999998	1	9299554	19	1662434.9999999998
Furnarius_figulus	0.031464	91650.68714675486	1433285.9999999998	1	1433285.9999999998	1	9299554	20	1433285.9999999998
Campylorhamphus_procurvoides	0.011942	114899.0371943654	636382.9999999999	1	636382.9999999999	1	9299554	21	636382.9999999999
Xiphorhynchus_elegans	0.010568	114899.0371943654	636382.9999999999	1	636382.9999999999	1	9299554	21	636382.9999999999
N393	0.019632	114899.0371943654	796902.9999999999	2	1433285.9999999998	2	8663171	20	2069668.9999999995
N394	0.004339	91650.68714675486	229148.99999999997	3	1662434.9999999998	3	7866268	19	3732103.999999999
N395	0.012737	129822.70272208827	768118.9999999999	4	2430553.9999999995	4	7637119	18	6162657.999999999
N396	0.001381	212306.8963738042	78107	5	2508660.9999999995	5	6869000	17	8671318.999999998
N464	0.000382	587839.8584378046	37730.99999999999	10	2048851	8	7288434	21	14576251
N465	0.006923	107605.80423270485	402699.99999999994	12	2451551	9	7250703	20	18701723
N477	0.007118	148694.7585895899	512783.99999999994	6	2409720	6	7402618	22	11194846
Lepidothrix_coronata	0.010415	209986.90337433075	574573.9999999999	1	574573.9999999999	1	9299554	16	574573.9999999999
Manacus_manacus	0.011504	209986.90337433075	574573.9999999999	1	574573.9999999999	1	9299554	16	574573.9999999999
N402	0.008925	209986.90337433075	1627733.9999999995	2	2202307.9999999995	2	8724980	15	2776881.9999999995
Cephalopterus_ornatus	0.038337	140377.89622261515	2121681.9999999995	1	2121681.9999999995	1	9299554	16	2121681.9999999995
Pachyramphus_minor	0.04424	125684.73749093646	2059733.9999999995	1	2059733.9999999995	1	9299554	17	2059733.9999999995
Onychorhynchus_coronatus	0.039351	505268.26269464486	1934528.9999999995	1	1934528.9999999995	1	9299554	19	1934528.9999999995
Oxyruncus_cristatus	0.037912	505268.26269464486	1934528.9999999995	1	1934528.9999999995	1	9299554	19	1934528.9999999995
N407	0.001862	505268.26269464486	88534.99999999999	2	2023063.9999999995	2	7365025	18	3957592.999999999
Piprites_chloris	0.042481	108468.02271557976	1844365	1	1844365	1	9299554	19	1844365
Neopipo_cinnamomea	0.031563	118144.67187646076	1748042.9999999995	1	1748042.9999999995	1	9299554	20	1748042.9999999995
Tachuris_rubrigastra	0.038954	385866.04044284293	1714075.9999999998	1	1714075.9999999998	1	9299554	21	1714075.9999999998
Mionectes_macconnelli	0.045877	326964.8354450149	1643094.9999999998	1	1643094.9999999998	1	9299554	22	1643094.9999999998
Tyrannus_savana	0.036381	326964.8354450149	1643094.9999999998	1	1643094.9999999998	1	9299554	22	1643094.9999999998
N413	0.001731	326964.8354450149	70981	2	1714075.9999999998	2	7656459	21	3357170.9999999995
N414	0.000999	385866.04044284293	33967	3	1748042.9999999998	3	7585478	20	5105213.999999999
N415	0.002761	118144.67187646076	96321.99999999999	4	1844364.9999999998	4	7551511	19	6949578.999999998
N416	0.004163	108468.02271557976	178698.99999999997	5	2023064	5	7455189	18	8972642.999999998
N48	0.0072	141489.22465023142	464572.99999999994	6	4928941	6	4835185.999999999	5	13738342.999999998
N493	0.000597	645739.1471772939	34091.99999999999	6	2307241	5	7026405	25	12264287
N494	0.000645	653424.6591308832	36011.99999999999	8	2343253	6	6992313	24	16698023
N495	0.001555	143155.92547192308	43752.99999999999	9	2387006	7	6956301	23	19085029
N496	0.000604	1028237.3272541342	22713.999999999996	10	2409720	8	6912548	22	21494749
N497	0.000743	719793.0961173817	23749.999999999996	16	2433470	9	6889834	21	32713345
Atrichornis_clamosus	0.04636	202058.81786920043	2870176.9999999995	1	2870176.9999999995	1	9299554	14	2870176.9999999995
Menura_novaehollandiae	0.031769	202058.81786920043	2870176.9999999995	1	2870176.9999999995	1	9299554	14	2870176.9999999995
N425	0.014771	202058.81786920043	1142364.9999999998	2	4012541.999999999	2	6429377	13	6882718.999999998
Climacteris_rufus	0.059451	222839.6275258242	3301442.999999999	1	3301442.999999999	1	9299554	15	3301442.999999999
Ptilonorhynchus_violaceus	0.045921	222839.6275258242	3301442.999999999	1	3301442.999999999	1	9299554	15	3301442.999999999
N428	0.006901	222839.6275258242	493285.9999999999	2	3794728.999999999	2	5998111	14	7096171.999999998
Malurus_elegans	0.070123	147434.66571144937	2844412.9999999995	1	2844412.9999999995	1	9299554	16	2844412.9999999995
Dasyornis_broadbenti	0.046536	121295.42098836374	2584367.9999999995	1	2584367.9999999995	1	9299554	17	2584367.9999999995
Grantiella_picta	0.048837	193760.4119149622	2493646.9999999995	1	2493646.9999999995	1	9299554	18	2493646.9999999995
Origma_solitaria	0.040366	150480.51561928648	2204941	1	2204941	1	9299554	19	2204941
Pardalotus_punctatus	0.040265	150480.51561928648	2204941	1	2204941	1	9299554	19	2204941
N434	0.005081	150480.51561928648	288705.99999999994	2	2493647	2	7094613	18	4698588
N435	0.001538	193760.4119149622	90720.99999999999	3	2584368	3	6805907	17	7282956
N436	0.004565	121295.42098836374	260044.99999999994	4	2844413	4	6715186	16	10127369
N437	0.008316	147434.66571144937	488510.99999999994	5	3332924	5	6455141	15	13460293
Orthonyx_spaldingii	0.046662	433939.91432852333	2890999.9999999995	1	2890999.9999999995	1	9299554	17	2890999.9999999995
Pomatostomus_ruficeps	0.058213	433939.91432852333	2890999.9999999995	1	2890999.9999999995	1	9299554	17	2890999.9999999995
N440	0.003003	433939.91432852333	166974.99999999997	2	3057974.9999999995	2	6408554	16	5948974.999999999
Ptilorrhoa_leucosticta	0.036374	229069.71131230987	2567207.9999999995	1	2567207.9999999995	1	9299554	18	2567207.9999999995
Edolisoma_coerulescens	0.033765	57469.396439551354	2526816	1	2526816	1	9299554	19	2526816
Chaetorhynchus_papuensis	0.025366	184996.75978114715	1673920.9999999998	1	1673920.9999999998	1	9299554	22	1673920.9999999998
Rhipidura_dahli	0.038301	184996.75978114715	1673920.9999999998	1	1673920.9999999998	1	9299554	22	1673920.9999999998
N445	0.00605	184996.75978114715	374929.99999999994	2	2048850.9999999998	2	7625633	21	3722771.9999999995
Dicrurus_megarhynchus	0.028494	587839.8584378046	2011119.9999999998	1	2011119.9999999998	1	9299554	22	2011119.9999999998
Myiagra_hebetior	0.03465	107240.65801252834	1965455.9999999998	1	1965455.9999999998	1	9299554	23	1965455.9999999998
Struthidea_cinerea	0.028062	754719.7718540758	1915840.9999999998	1	1915840.9999999998	1	9299554	25	1915840.9999999998
Ifrita_kowaldi	0.028201	443997.58012449177	1859624.9999999998	1	1859624.9999999998	1	9299554	26	1859624.9999999998
Paradisaea_raggiana	0.024167	443997.58012449177	1859624.9999999998	1	1859624.9999999998	1	9299554	26	1859624.9999999998
N451	0.001005	443997.58012449177	56215.99999999999	2	1915840.9999999998	2	7439929	25	3775465.9999999995
N452	0.000613	754719.7718540758	20498.999999999996	3	1936339.9999999998	3	7383713	24	5711805.999999999
Lanius_ludovicianus	0.041767	133551.28734947758	1707410	1	1707410	1	9299554	25	1707410
Aphelocoma_coerulescens	0.012555	137924.92683088922	800474.9999999999	1	800474.9999999999	1	9299554	26	800474.9999999999
Corvus_moneduloides	0.003262	87242.51018641716	247056.99999999997	1	247056.99999999997	1	9299554	27	247056.99999999997
Corvus_brachyrhynchos	0.000789	44539.67654436331	84075.99999999999	1	84075.99999999999	1	9299554	28	84075.99999999999
Corvus_cornix	0.000603	44539.67654436331	84075.99999999999	1	84075.99999999999	1	9299554	28	84075.99999999999
N458	0.001598	44539.67654436331	162980.99999999997	2	247056.99999999994	2	9215478	27	331132.99999999994
N459	0.005909	87242.51018641716	553417.9999999999	3	800474.9999999999	3	9052497	26	1131607.9999999998
N460	0.007654	137924.92683088922	906934.9999999999	4	1707409.9999999998	4	8499079	25	2839017.9999999995
N461	0.003488	133551.28734947758	228929.99999999994	5	1936340	5	7592144	24	4775358
N498	0.000521	534668.5447	18080.999999999996	17	2451551	10	6866084	20	35164896
N499	0.000871	672000.8896	75265	29	2526816	11	6848003	19	53941884
N500	0.003877	57469.396439551354	40391.99999999999	30	2567208	12	6772738	18	56509092
N501	0.00592	229069.71131230987	382961.99999999994	31	2950170	13	6732346	17	59459262
Mohoua_ochrocephala	0.035762	534668.5447	2433470	1	2433470	1	9299554	21	2433470
Machaerirhynchus_nigripectus	0.032691	148694.7585895899	1896936	1	1896936	1	9299554	23	1896936
Gymnorhina_tibicen	0.027472	253881.80289440238	1854631.9999999998	1	1854631.9999999998	1	9299554	24	1854631.9999999998
Rhagologus_leucostigma	0.025725	113984.87682536067	1785337	1	1785337	1	9299554	25	1785337
Dryoscopus_gambensis	0.030501	99028.61867947355	1667742.9999999998	1	1667742.9999999998	1	9299554	26	1667742.9999999998
Dyaphorophyia_castanea	0.031873	155254.38692546773	1580477.9999999998	1	1580477.9999999998	1	9299554	27	1580477.9999999998
Mystacornis_crossleyi	0.033292	155254.38692546773	1580477.9999999998	1	1580477.9999999998	1	9299554	27	1580477.9999999998
N473	0.001757	155254.38692546773	87264.99999999999	2	1667742.9999999998	2	7719076	26	3248220.9999999995
N474	0.002321	99028.61867947355	117593.99999999999	3	1785336.9999999998	3	7631811	25	5033557.999999999
N475	0.001274	113984.87682536067	69294.99999999999	4	1854632	4	7514217	24	6888189.999999999
N476	0.000578	253881.80289440238	42304	5	1896936	5	7444922	23	8785125.999999998
N547	0.003647	96258.61786603503	124852.99999999997	7	1676228.9999999998	6	7748178	30	9183560.999999998
Daphoenositta_chrysoptera	0.040517	1028237.3272541342	2387005.9999999995	1	2387005.9999999995	1	9299554	23	2387005.9999999995
Eulacestoma_nigropectus	0.034691	143155.92547192308	2343252.9999999995	1	2343252.9999999995	1	9299554	24	2343252.9999999995
Aleadryas_rufinucha	0.03074	249682.79621415297	2090482.9999999998	1	2090482.9999999998	1	9299554	26	2090482.9999999998
Falcunculus_frontatus	0.03208	249682.79621415297	2090482.9999999998	1	2090482.9999999998	1	9299554	26	2090482.9999999998
