Nyctibius_bracteatus	Po
Nyctibius_grandis	Po
Nycticryphes_semicollaris	Po
Nyctiprogne_leucopyga	Po
Oceanites_oceanicus	Po
Oenanthe_oenanthe	Po
Onychorhynchus_coronatus	Po
Opisthocomus_hoazin	Po
Oreotrochilus_melanogaster	Po
Origma_solitaria	Po
Orthonyx_spaldingii	Po
Oxylabes_madagascariensis	Po
Oxyruncus_cristatus	Po
Pachyramphus_minor	Po
Pandion_haliaetus	Po
Panurus_biarmicus	Po
Paradisaea_raggiana	Po
Pardalotus_punctatus	Po
Parus_major	Po
Passer_domesticus	Po
Passerina_amoena	Po
Patagioenas_fasciata	Po
Pedionomus_torquatus	Po
Pelecanoides_urinatrix	Po
Pelecanus_crispus	Po
Peucedramus_taeniatus	Po
Phaethon_lepturus	Po
Phaetusa_simplex	Po
Phainopepla_nitens	Po
Phalacrocorax_auritus	Po
Phalacrocorax_brasilianus	Po
Phalacrocorax_carbo	Po
Phalacrocorax_harrisi	Po
Phalacrocorax_pelagicus	Po
Pheucticus_melanocephalus	Po
Phoenicopterus_ruber	Po
Phylloscopus_trochilus	Po
Piaya_cayana	Po
Picathartes_gymnocephalus	Po
Picoides_pubescens	Po
Piprites_chloris	Po
Pitta_sordida	Po
Ploceus_nigricollis	Po
Pluvianellus_socialis	Po
Podargus_strigoides	Po
Podiceps_cristatus	Po
Podilymbus_podiceps	Po
Poecile_atricapillus	Po
Polioptila_caerulea	Po
Pomatorhinus_ruficollis	Po
Pomatostomus_ruficeps	Po
Probosciger_aterrimus	Po
Promerops_cafer	Po
Prunella_fulvescens	Po
Prunella_himalayana	Po
Pseudopodoces_humilis	Po
Psilopogon_haemacephalus	Po
Psophia_crepitans	Po
Pterocles_burchelli	Po
Pterocles_gutturalis	Po
Ptilonorhynchus_violaceus	Po
Ptilorrhoa_leucosticta	Po
Pycnonotus_jocosus	Po
Pygoscelis_adeliae	Po
Quiscalus_mexicanus	Po
Ramphastos_sulfuratus	Po
Regulus_satrapa	Po
Rhabdornis_inornatus	Po
Rhadina_sibilatrix	Po
Rhagologus_leucostigma	Po
Rhegmatorhina_hoffmannsi	Po
Rhinopomastus_cyanomelas	Po
Rhinoptilus_africanus	Po
Rhipidura_dahli	Po
Rhodinocichla_rosea	Po
Rhynochetos_jubatus	Po
Rissa_tridactyla	Po
Rostratula_benghalensis	Po
